developer,cluster,archetype,dbscan_outlier,commits,prs_opened,prs_merged,reviews_given,issues_opened,issues_closed,active_hours
anishgirianish,0,Silent Stalker,False,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,1.3333333333333333
anishshri-db,0,Silent Stalker,False,0.5333333333333333,0.0,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333
ankit98040,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
anrajago,0,Silent Stalker,False,0.0,0.0,0.0,2.0,0.0,0.0,1.0
anshuksi282-ksolves,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
aojea,0,Silent Stalker,False,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,1.1428571428571428
aokolnychyi,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
aqaurius6666,0,Silent Stalker,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
aramase,0,Silent Stalker,False,0.0,0.5,0.0,0.5,0.0,0.0,1.0
aravindmurali22,0,Silent Stalker,True,0.0,0.0,0.0,0.0,0.0,9.0,1.0
archy-rock3t-cloud,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ardaguclu,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
aritra24,0,Silent Stalker,False,0.0,0.5,0.0,1.0,0.0,0.0,1.5
arjav1528,0,Silent Stalker,False,0.0,0.75,0.0,0.25,0.0,0.125,1.25
arnoldmr01,0,Silent Stalker,False,0.0,0.5,0.0,0.5,0.0,0.0,1.0
aroradaman,0,Silent Stalker,False,0.0,0.5,0.0,0.5,0.0,0.0,1.0
arorasachin9,0,Silent Stalker,False,0.0,0.5,0.0,0.5,0.0,0.0,1.0
aru-trackunit,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
asf-gitbox-commits,0,Silent Stalker,False,1.5,0.0,0.0,0.0,0.0,0.0,1.375
ashb,0,Silent Stalker,False,0.1111111111111111,0.0,0.0,2.3333333333333335,0.0,0.2222222222222222,1.6666666666666667
asl3,0,Silent Stalker,False,0.0,0.5,0.0,1.75,0.0,0.0,2.25
atiratree,0,Silent Stalker,False,0.0,2.0,0.0,0.0,0.0,0.0,2.0
atombrella,0,Silent Stalker,False,0.0,0.75,0.0,0.75,0.0,0.0,1.5
avoidik,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
bart0sh,0,Silent Stalker,False,0.0,0.09523809523809523,0.0,2.2857142857142856,0.0,0.0,1.8095238095238095
bboreham,0,Silent Stalker,False,1.5,0.3333333333333333,0.0,2.0,0.0,0.16666666666666666,2.5
bbovenzi,0,Silent Stalker,False,1.75,0.5833333333333334,0.0,1.5,0.0,0.5,2.75
benediktjohannes,0,Silent Stalker,False,0.0,1.0,0.0,0.0,1.0,0.0,1.0
benluddy,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
benniofficialdev,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
beorn7,0,Silent Stalker,False,1.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.0
berglh,0,Silent Stalker,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bhope,0,Silent Stalker,False,0.0,1.25,0.0,0.75,0.0,0.0,1.75
biplavbarua,0,Silent Stalker,True,0.0,4.0,0.0,0.0,0.0,0.0,4.0
bmanan7,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
bodhisilberling,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
bodhisilberling-2027,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
bolkedebruin,0,Silent Stalker,False,1.0,0.0,0.0,1.0,0.0,1.0,1.0
bounlu,0,Silent Stalker,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bozhang2820,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
brejman,0,Silent Stalker,False,0.0,0.2,0.0,1.2,0.0,0.0,1.4
bripkens,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
bugraoz93,0,Silent Stalker,False,0.9444444444444444,0.6111111111111112,0.0,1.5,0.0,0.05555555555555555,2.2222222222222223
bwplotka,0,Silent Stalker,True,3.857142857142857,0.2857142857142857,0.0,2.5,0.07142857142857142,0.07142857142857142,4.071428571428571
calefpaz99-design,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
callmepandey,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
carlory,0,Silent Stalker,False,0.0,0.5,0.0,0.5,0.0,0.0,1.0
cboumalh,0,Silent Stalker,False,0.0,0.0,0.0,1.8571428571428572,0.0,0.0,1.2857142857142858
